,show_id,type,title,director,cast,country,date_added,release_year,categories
173,80161931,Movie,Vincent N Roxxy,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch, Beau Knapp, Jason Mitchell, Scott Mescudi, Jeff Gum, Joey Bicicchi",United States,"September 2, 2017",2016,"Dramas, Thrillers"
176,80017275,Movie,Miss Julie,Liv Ullmann,"Jessica Chastain, Colin Farrell, Samantha Morton, Nora McMenamy","Norway, United Kingdom, France, Ireland","September 2, 2015",2014,"Dramas, International Movies"
177,81107545,Movie,Kabir Singh,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Suresh Oberoi, Arjan Bajwa, Adil Hussain, Nikita Dutta, Kamini Kaushal, Anurag Arora",India,"September 19, 2019",2019,"Dramas, International Movies, Romantic Movies"
178,70118953,Movie,Océans,"Jacques Perrin, Jacques Cluzaud","Pierce Brosnan, Jacques Perrin, Rie Miyazawa, Lancelot Perrin","France, Switzerland, Spain, United States, United Arab Emirates","September 19, 2019",2009,"Documentaries, International Movies"
179,80190449,Movie,The Endless,"Justin Benson, Aaron Moorhead","Aaron Moorhead, Justin Benson, Callie Hernandez, Lew Temple, James Jordan, Tate Ellington",United States,"September 19, 2018",2017,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
181,80163156,Movie,Jerry Before Seinfeld,Michael Bonfiglio,Jerry Seinfeld,United States,"September 19, 2017",2017,Stand-Up Comedy
189,80149143,Movie,Come and Find Me,Zack Whedon,"Aaron Paul, Annabelle Wallis, Garret Dillahunt, Chris Chalk, Zachary Knighton, Enver Gjokaj, Michael Kopsa, Terry Chen","Canada, United States, United Kingdom","September 18, 2019",2016,"Dramas, Thrillers"
191,80987075,Movie,Class Rank,Eric Stoltz,"Olivia Holt, Skyler Gisondo, Kristin Chenoweth, Bruce Dern, Nick Krause, Kathleen Chalfant, Peter Maloney, Rod McLachlan, Hawn Tran, Danni Wang",United States,"September 18, 2018",2018,Comedies
192,80192815,Movie,Barbie Dolphin Magic,Conrad Helten,"Erica Lindbeck, Shannon Chan-Kent, Kazumi Evans, Claire Corlett, Ciana Swales, Adrian Petriw, Maryke Hendrikse, Paul Dobson, Garry Chalk",United States,"September 18, 2017",2017,Children & Family Movies
196,80066798,Movie,Keith Richards: Under the Influence,Morgan Neville,Keith Richards,United States,"September 18, 2015",2015,"Documentaries, Music & Musicals"
197,81147293,Movie,A Haunting at Silver Falls: The Return,Teo Konuralp,"Laura Flannery, James Cavlo, Harry Hains, Clemmie Dugdale, Dendrie Taylor, Bryan Chesters, Jennifer Dorogi, Adam Lazarre-White, Nikita Ramsey",United States,"September 17, 2019",2019,"Horror Movies, Independent Movies"
199,80991316,Movie,Avengement,Jesse V. Johnson,"Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing, Mark Strange, Leo Gregory, Luke LaFontaine, Beau Fowler, Dan Styles",United Kingdom,"September 17, 2019",2019,Action & Adventure
200,80190588,Movie,Clive Davis: The Soundtrack of Our Lives,Chris Perkel,Clive Davis,United States,"September 17, 2019",2017,"Documentaries, Music & Musicals"
201,70124316,Movie,Five Elements Ninjas,Cheh Chang,"Tien-chi Cheng, Tien Hsiang Lung, Meng Lo, Michael Chan Wai-Man, Pei Hsi Chen, Li Wang, Ke Chu",Hong Kong,"September 17, 2019",1982,"Action & Adventure, International Movies"
202,70229037,Movie,Sebastian Maniscalco: What's Wrong with People?,Manny Rodriguez,Sebastian Maniscalco,United States,"September 17, 2019",2012,Stand-Up Comedy
204,80037280,Movie,The Witch,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw, Ellie Grainger, Lucas Dawson, Bathsheba Garnett, Sarah Stephens, Julian Richings, Wahab Chaudhry","United Kingdom, Canada, United States","September 17, 2018",2015,"Horror Movies, Independent Movies"
206,80058248,Movie,I Am Wrath,Chuck Russell,"John Travolta, Christopher Meloni, Amanda Schull, Sam Trammell, Patrick St. Esprit, Rebecca De Mornay, Asante Jones, Paul Sloan, Luis Da Silva Jr., Jordan Whalen",United States,"September 16, 2019",2016,"Action & Adventure, Dramas"
207,70307661,Movie,"As Above, So Below",John Erick Dowdle,"Perdita Weeks, Ben Feldman, Edwin Hodge, François Civil, Marion Lambert, Ali Marhyar, Cosme Castro, Hamid Djavadan, Théo Cholbi, Emy Lévy",United States,"September 16, 2018",2014,"Horror Movies, Thrillers"
208,70117312,Movie,Scott Pilgrim vs. the World,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Aubrey Plaza, Brandon Routh, Jason Schwartzman, Mark Webber, Mae Whitman, Johnny Simmons, Ellen Wong","United States, United Kingdom, Canada, Japan","September 16, 2018",2010,"Action & Adventure, Comedies, Cult Movies"
209,80092885,Movie,ARQ,Tony Elliott,"Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal","Canada, United States","September 16, 2016",2016,"International Movies, Sci-Fi & Fantasy, Thrillers"
210,80108371,Movie,Cedric the Entertainer: Live from the Ville,Troy Miller,Cedric the Entertainer,United States,"September 16, 2016",2016,Stand-Up Comedy
217,81030342,Movie,Los Tigres del Norte at Folsom Prison,Tom Donahue,Los Tigres del Norte,United States,"September 15, 2019",2019,"Documentaries, International Movies, Music & Musicals"
219,70054723,Movie,Steal a Pencil for Me,Michèle Ohayon,"Jack Polak, Ina Soep",United States,"September 15, 2019",2006,Documentaries
222,81131761,Movie,The Outsider,Timothy Woodward Jr.,"Jon Foo, Trace Adkins, Sean Patrick Flanery, Kaiwi Lyman, Nelli Tsay, Danny Trejo, Mitchell L. Johnson, Philip V. Bruenn",United States,"September 15, 2019",2019,Movies
226,81016326,Movie,Arisan 2,Nia Dinata,"Surya Saputra, Cut Mini Theo, Tora Sudiro",Indonesia,"September 15, 2018",2011,"Comedies, Dramas, International Movies"
228,80227777,Movie,Cardboard Gangsters,Mark O'Connor,"John Connors, Fionn Walton, Kierston Wareing, Paul Alwright, Ryan Lincoln, Jimmy Smallhorne, Toni O'Rourke, Fionna Hewitt-Twamley, Stephen Clinch, Ciaran McCabe",Ireland,"September 15, 2018",2016,"Dramas, International Movies"
229,81018233,Movie,Eeda,Ajithkumar,"Shane Nigaam, Nimisha Sajayan, Manikandan R. Achari, Alencier Ley Lopez, Sujith Sankar, P. Balachandran, Sudhi Koppa",India,"September 15, 2018",2018,"Dramas, International Movies, Romantic Movies"
230,81016317,Movie,Galih dan Ratna,Lucky Kuswandi,"Refal Hady, Sheryl Sheinafia, Ayu Dyah Pasha, Joko Anwar, Hengky Tarnando, Marissa Anita, Sari Koeswoyo",Indonesia,"September 15, 2018",2017,"Dramas, International Movies, Romantic Movies"
231,81016337,Movie,Gie,Riri Riza,"Nicholas Saputra, Sita Nursanti, Lukman Sardi, Indra Birowo, Wulan Guritno, Thomas Nawilis, Tutie Kirana, Robby Tumewu, Jonathan Mulia",Indonesia,"September 15, 2018",2005,"Dramas, International Movies"
232,81018234,Movie,​Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,"September 15, 2018",2018,"Action & Adventure, Dramas, International Movies"
236,81018235,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,"September 15, 2018",2017,"Dramas, International Movies"
237,81018236,Movie,​Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,"September 15, 2018",2017,"Dramas, International Movies"
238,81018237,Movie,Red Oleanders Raktokarobi,Amitava Bhattacharya,"Shantilal Mukherjee, Mumtaz Sorcar, Rahul, Koushik Sen, Rajesh Sharma, Debdut Ghosh, Anindya Banerjee, Amitabha Bhattacharjee, Usashi Chakraborty, Dipankar Dey",India,"September 15, 2018",2017,"Dramas, International Movies"
239,81018238,Movie,Samantaral,Partha Chakraborty,"Riddhi Sen, Parambrata Chatterjee, Soumitra Chatterjee, Aparajita Adhya, Tanusree Chakraborty, Kushal Chakraborty, Anindya Banerjee, Surangana Banerjee",India,"September 15, 2018",2017,"Dramas, International Movies"
241,80067522,Movie,First They Killed My Father,Angelina Jolie,"Sreymoch Sareum, Kompheak Phoeung, Socheata Sveng, Dara Heng, Sothea Khoun, Sreyneang Oun, Kimhak Mun, Chenda Run, Nika Sarun, Nita Sarun","Cambodia, United States","September 15, 2017",2017,Dramas
242,80192149,Movie,Gagarin: First in Space,Pavel Parkhomenko,"Yaroslav Zhalnin, Mikhail Filippov, Olga Ivanova, Vadim Michman, Vladimir Steklov, Viktor Proskurin, Nadezhda Markina, Daniil Vorobyov",Russia,"September 15, 2017",2013,"Dramas, International Movies"
243,80142637,Movie,Janaan,Azfar Jafri,"Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz",Pakistan,"September 15, 2017",2016,"Comedies, Dramas, International Movies"
244,80192014,Movie,Larceny,R. Ellis Frazier,"Dolph Lundgren, Corbin Bernsen, Louis Mandylor, Isaac C. Singleton Jr., Jocelyn Osorio, Eddie J. Fernandez, David Fernandez Jr., Mauricio Mendoza, Steven Dell, Luis Gatica","United States, Mexico","September 15, 2017",2017,Action & Adventure
245,80192015,Movie,Rumble,R. Ellis Frazier,"Gary Daniels, Luis Gatica, Sissi Fleitas, Eddie J. Fernandez, Fabián López, Justin Nesbitt, Pedro Rodman Rodriguez",Mexico,"September 15, 2017",2016,"Action & Adventure, Independent Movies"
247,80202129,TV Show,The Five,Mark Tonderai,"Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta",United Kingdom,"September 15, 2017",2016,"British TV Shows, Crime TV Shows, TV Dramas"
248,80088910,Movie,Natural Born Pranksters,"Roman Atwood, Ben Pluimer","Roman Atwood, Vitaly Zdorovetskiy, Dennis Roady",United States,"September 15, 2016",2016,Comedies
249,70290909,Movie,Sample This,Dan Forrer,Gene Simmons,United States,"September 15, 2016",2012,"Documentaries, Music & Musicals"
251,80033772,Movie,Cowspiracy: The Sustainability Secret,"Kip Andersen, Keegan Kuhn",Kip Andersen,United States,"September 15, 2015",2014,Documentaries
252,81093951,Movie,Oh! Baby,B. V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi",India,"September 14, 2019",2019,"Comedies, International Movies, Music & Musicals"
253,80238013,Movie,The Crystal Calls Making the Dark Crystal: Age of Resistance,Randall Lobb,"Taron Egerton, Natalie Dormer, Simon Pegg, Jason Isaacs",United States,"September 14, 2019",2019,"Documentaries, International Movies"
254,81089941,Movie,We Have Always Lived in the Castle,Stacie Passon,"Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan, Paula Malcomson, Peter Coonan, Ian Toner, Joanne Crawford",United States,"September 14, 2019",2018,"Dramas, Thrillers"
255,81000011,Movie,Bangkok Hell,Manop Janjarasskul,"Chalad Na Songkhla, Sahatchai 'Stop' Chumrum, Pornchai Hongrattanaporn, Kongsak Kaenmeepol, Samart Saengsa-Ngiam, Suthpong Kanithanon",Thailand,"September 14, 2018",2002,"Dramas, International Movies"
257,80217733,Movie,Bleach,Shinsuke Sato,"Sota Fukushi, Hana Sugisaki, Ryo Yoshizawa, Erina Mano, Yu Koyanagi, Seiichi Tanabe, Taichi Saotome, Miyavi, Masami Nagasawa, Yosuke Eguchi",Japan,"September 14, 2018",2018,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
261,80999985,Movie,Still,"Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon","Mai Charoenpura, Akara Amarttayakul, Supakson Chaimongkol, Kachapa Toncharoen, Wiradit Srimalai, Vasana Chalakorn, Ratchanont Sukpragawp, Arisara Thongborisut",Thailand,"September 14, 2018",2010,"Horror Movies, International Movies"
263,80188120,Movie,The Angel,Ariel Vromen,"Marwan Kenzari, Hannah Ware, Toby Kebbell, Waleed Zuaiter, Maisa Abd Elhadi, Sasson Gabai, Mickey Leon, Ori Pfeffer, Slimane Dazi","Israel, United States","September 14, 2018",2018,"Dramas, International Movies, Thrillers"
264,80164779,Movie,The Land of Steady Habits,Nicole Holofcener,"Ben Mendelsohn, Edie Falco, Connie Britton, Thomas Mann, Bill Camp, Elizabeth Marvel, Charlie Tahan, Michael Gaston, Josh Pais",United States,"September 14, 2018",2018,"Comedies, Dramas, Independent Movies"
266,81092328,Movie,American Warfighter,Jerry G. Angelo,"Jerry G. Angelo, Paul Logan, Joshua Santana, Carolina Castro, David Robbins, Michael King, Tom Crisp, Jennifer Marshall, Victoria Clare, Ryan Baumann, Isaac C. Singleton Jr., Said Faraj",United States,"September 13, 2019",2019,Dramas
267,81183572,Movie,Deviant Love,Michael Feifer,"Emma Bell, Nick Ballard, Bradley Bundlie, Gail O'Grady, Corbin Timbrook, Kate Lang Johnson, Robert Adamson, Caia Coley, Alicia James, Sotida Arpon",United States,"September 13, 2019",2019,Thrillers
268,81037283,Movie,Head Count,Elle Callahan,"Isaac Jay, Ashleigh Morghan, Bevin Bru, Billy Meade, Hunter Peterson, Chelcie May, Tory Freeth, Michael Herman, Amaka Obiechie, Sam Marra, Cooper Rowe",United States,"September 13, 2019",2018,"Horror Movies, Independent Movies"
269,80244973,Movie,"Hello, Privilege. It's Me, Chelsea",Alex Stapleton,Chelsea Handler,United States,"September 13, 2019",2019,Documentaries
271,81132438,Movie,Locked on You,Kıvanç Baruönü,"Ata Demirer, Demet Akbağ, Gonca Vuslateri, İlker Aksum, Tarık Ünlüoğlu, Erkan Can, Hande Dane, Ayten Uncuoğlu, Hakan Salınmış, İştar Gökseven",Turkey,"September 13, 2019",2018,"Comedies, International Movies"
274,81161230,Movie,Shanghai Fortress,Teng Huatao,"Lu Han, Shu Qi, Shi Liang, Godfrey Gao, Wang Gongliang, Wang Sen, Sun Jialing, Vincent Matile",China,"September 13, 2019",2019,"Dramas, International Movies, Romantic Movies"
275,81002412,Movie,Tall Girl,Nzingha Stewart,"Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc, Luke Eisner, Clara Wilsey, Anjelika Washington, Rico Paris, Angela Kinsey, Steve Zahn",United States,"September 13, 2019",2019,"Children & Family Movies, Comedies, Romantic Movies"
276,81023636,Movie,Time Trap,"Mark Dennis, Ben Foster","Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari",United States,"September 13, 2019",2018,"Action & Adventure, Sci-Fi & Fantasy"
280,80198046,Movie,Ghost of the Mountains,Ben Wallis,Antoine Fuqua,United States,"September 13, 2017",2017,Documentaries
284,70267728,Movie,Turbo,David Soren,"Ben Schwartz, Bill Hader, Luis Guzmán, Snoop Dogg, Paul Giamatti, Ryan Reynolds, Maya Rudolph, Ken Jeong, Samuel L. Jackson, Michael Peña, Michelle Rodriguez, Richard Jenkins, Kurtwood Smith, Luis Guzman",United States,"September 12, 2019",2013,"Children & Family Movies, Comedies"
286,81001000,Movie,On My Skin,Alessio Cremonini,"Alessandro Borghi, Jasmine Trinca, Milvia Marigliano, Max Tortora",Italy,"September 12, 2018",2018,"Dramas, International Movies"
288,80158670,Movie,Jeff Dunham: Relative Disaster,Michael Simon,Jeff Dunham,United States,"September 12, 2017",2017,Stand-Up Comedy
291,80244019,Movie,The Resistance Banker,Joram Lürsen,"Barry Atsma, Jacob Derwig, Pierre Bokma, Jaap Spijkers, Raymond Thiry, Fockeline Ouwerkerk, Matteo van der Grijn, Jochum ten Haaf, Peter Jordan, Götz Schubert",Netherlands,"September 11, 2018",2018,"Dramas, International Movies"
292,80162143,Movie,The Forgotten,Oliver Frampton,"Clem Tibber, Elarica Johnson, James Doherty, Shaun Dingwall, Lyndsey Marshal",United Kingdom,"September 11, 2017",2014,Horror Movies
293,81060174,Movie,Bill Burr: Paper Tiger,Mike Binder,Bill Burr,"United States, United Kingdom","September 10, 2019",2019,Stand-Up Comedy
294,70130445,Movie,Eat Pray Love,Ryan Murphy,"Julia Roberts, James Franco, Javier Bardem, Richard Jenkins, Viola Davis, Billy Crudup, Hadi Subiyanto, Mike O'Malley, Tuva Novotny, Luca Argentero",United States,"September 10, 2019",2010,"Dramas, Romantic Movies"
296,81001494,Movie,Our Godfather,"Mark Franchetti, Andrew Meier",Tommaso Buscetta,United Kingdom,"September 10, 2019",2019,"Documentaries, International Movies"
298,80991570,Movie,"My Teacher, My Obsession",Damián Romay,"Lucy Loken, Laura Bilgeri, Rusty Joiner, Alexandria Deberry, Dakota Bruton, Theresa Sutera, Vin Morreale Jr., Shelby Alicea, Tyler Joseph Campbell, Lestonja Diaz",United States,"September 10, 2018",2018,Thrillers
299,80184129,Movie,68 Kill,Trent Haaga,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust",United States,"September 1, 2019",2017,"Comedies, Independent Movies, Thrillers"
300,60000861,Movie,American Psycho,Mary Harron,"Christian Bale, Willem Dafoe, Jared Leto, Reese Witherspoon, Samantha Mathis, Chloë Sevigny, Justin Theroux, Josh Lucas, Matt Ross, Bill Sage, Cara Seymour, Guinevere Turner","United States, Canada","September 1, 2019",2000,"Comedies, Cult Movies, Dramas"
301,1151375,Movie,Dante's Peak,Roger Donaldson,"Pierce Brosnan, Linda Hamilton, Elizabeth Hoffman, Jamie Renée Smith, Jeremy Foley, Charles Hallahan, Grant Heslov, Kirk Trutner, Arabella Field, Tzi Ma",United States,"September 1, 2019",1997,Action & Adventure
303,80187228,Movie,First Kill,Steven C. Miller,"Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo, Magi Avila, Ty Shelton, Christine Dye","United Kingdom, Canada, United States","September 1, 2019",2017,Action & Adventure
304,81031008,Movie,For the Birds,Richard Miron,Kathy Murphy,United States,"September 1, 2019",2018,Documentaries
305,70099119,Movie,Igor,Tony Leondis,"John Cusack, Steve Buscemi, Sean Hayes, Molly Shannon, Eddie Izzard, Jennifer Coolidge, Jay Leno","United States, France","September 1, 2019",2008,Children & Family Movies
306,70039185,Movie,Just Friends,Roger Kumble,"Anna Faris, Ty Olsson, Julie Hagerty, Amy Smart, Chris Marquette, Fred Ewanuick, Amy Matysio, Chris Klein, Ryan Reynolds, Stephen Root","Germany, United States, Canada","September 1, 2019",2005,"Comedies, Romantic Movies"
308,81165769,Movie,Mokalik (Mechanic),Kunle Afolayan,"Tooni Afolayan, Ayo Ogunshina, Dayo Akinpelu, Simi Ogunleye, Femi Adebayo, Lateef Adedimeji, Damilola Ogunsi, Rasaq Olayiwola, Ayo Adesanya, Wale Akorede, Toyosi Benjamin, Hamzat Sherifdeen, Samuel Olasehinde",Nigeria,"September 1, 2019",2019,"Dramas, International Movies"
309,70056433,Movie,Mr. Woodcock,Craig Gillespie,"Billy Bob Thornton, Seann William Scott, Ethan Suplee, Melissa Sagemiller, Susan Sarandon, Melissa Leo, Bill Macy, Kurt Fuller, Amy Poehler",United States,"September 1, 2019",2007,Comedies
310,70113003,Movie,My Sister's Keeper,Nick Cassavetes,"Cameron Diaz, Abigail Breslin, Alec Baldwin, Jason Patric, Sofia Vassilieva, Joan Cusack, Heather Wahlquist, Thomas Dekker, Evan Ellingson, David Thornton",United States,"September 1, 2019",2009,Dramas
311,60031232,Movie,Mystic River,Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark","United States, Australia","September 1, 2019",2003,"Dramas, Thrillers"
312,80032842,Movie,Oct-01,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,"September 1, 2019",2014,"Dramas, International Movies, Thrillers"
313,81137482,Movie,Olmo & the Seagull,"Petra Costa, Lea Glob","Olivia Corsini, Sergio Nicolai, Arman Saribekyan, Sylvain Jailloux, Francis Ressort, Pancho Garcia Aguirre, Shaghayegh Beheshti, Elena Bellei, Sébastien Brottet-Michel, Célia Catalifo","Denmark, Brazil, France, Portugal, Sweden","September 1, 2019",2014,"Dramas, Independent Movies, International Movies"
